book_ID,ID,number,title,pages,createdAt,createdBy,modifiedAt,modifiedBy
c4f87443-9b2d-4b6e-a1e1-a65d6f47a6c5,3c4d5e6f-77aa-49c9-8822-ccdfe0003002,2,"The Icebound Realms",38,2025-01-01T10:15:00Z,SYSTEM,2025-01-01T10:15:00Z,SYSTEM
c4f87443-9b2d-4b6e-a1e1-a65d6f47a6c5,3c4d5e6f-77aa-49c9-8822-ccdfe0003003,3,"Stormcaller's Awakening",36,2025-01-01T10:15:00Z,SYSTEM,2025-01-01T10:15:00Z,SYSTEM
2f0e3a28-2902-40bf-9a19-e0bff621adfb,4d5e6f7a-88bb-4dd2-9933-ddeef0004001,1,"Starting Your Garden",14,2025-01-01T10:20:00Z,SYSTEM,2025-01-01T10:20:00Z,SYSTEM
2f0e3a28-2902-40bf-9a19-e0bff621adfb,4d5e6f7a-88bb-4dd2-9933-ddeef0004002,2,"Soil and Seasons",12,2025-01-01T10:20:00Z,SYSTEM,2025-01-01T10:20:00Z,SYSTEM
2f0e3a28-2902-40bf-9a19-e0bff621adfb,4d5e6f7a-88bb-4dd2-9933-ddeef0004003,3,"Caring for Plants",10,2025-01-01T10:20:00Z,SYSTEM,2025-01-01T10:20:00Z,SYSTEM
94a7c74a-57a0-4e13-9ff8-33a89f92aa3d,5e6f7a8b-99cc-4ff3-aa44-eeff00005001,1,"The Forgotten Kingdom",30,2025-01-01T10:25:00Z,SYSTEM,2025-01-01T10:25:00Z,SYSTEM
94a7c74a-57a0-4e13-9ff8-33a89f92aa3d,5e6f7a8b-99cc-4ff3-aa44-eeff00005002,2,"Journeys Through the Unknown",32,2025-01-01T10:25:00Z,SYSTEM,2025-01-01T10:25:00Z,SYSTEM
94a7c74a-57a0-4e13-9ff8-33a89f92aa3d,5e6f7a8b-99cc-4ff3-aa44-eeff00005003,3,"Empire Reborn",28,2025-01-01T10:25:00Z,SYSTEM,2025-01-01T10:25:00Z,SYSTEM
dcd30d22-0bd8-4ea2-b5ba-84e27bd97558,6f7a8b9c-aadd-4aa4-bb55-fff000006001,1,"Foundations of Mindfulness",20,2025-01-01T10:30:00Z,SYSTEM,2025-01-01T10:30:00Z,SYSTEM
dcd30d22-0bd8-4ea2-b5ba-84e27bd97558,6f7a8b9c-aadd-4aa4-bb55-fff000006002,2,"Everyday Presence",18,2025-01-01T10:30:00Z,SYSTEM,2025-01-01T10:30:00Z,SYSTEM
dcd30d22-0bd8-4ea2-b5ba-84e27bd97558,6f7a8b9c-aadd-4aa4-bb55-fff000006003,3,"Creating a Balanced Life",16,2025-01-01T10:30:00Z,SYSTEM,2025-01-01T10:30:00Z,SYSTEM
636fa2f7-1dfb-4926-afaf-7ae1716e998b,7a8b9c0d-bbee-4bb5-cc66-aaa000007001,1,"Into the Abyss",26,2025-01-01T10:35:00Z,SYSTEM,2025-01-01T10:35:00Z,SYSTEM
636fa2f7-1dfb-4926-afaf-7ae1716e998b,7a8b9c0d-bbee-4bb5-cc66-aaa000007002,2,"Life in the Deep",24,2025-01-01T10:35:00Z,SYSTEM,2025-01-01T10:35:00Z,SYSTEM
636fa2f7-1dfb-4926-afaf-7ae1716e998b,7a8b9c0d-bbee-4bb5-cc66-aaa000007003,3,"Exploring the Unknown Oceans",22,2025-01-01T10:35:00Z,SYSTEM,2025-01-01T10:35:00Z,SYSTEM
0eacb82f-8765-46ef-9b41-21ba9c9f3df1,8b9c0d1e-ccff-4cc6-dd77-bbb000008001,1,"Foundations of Architecture",28,2025-01-01T10:40:00Z,SYSTEM,2025-01-01T10:40:00Z,SYSTEM
0eacb82f-8765-46ef-9b41-21ba9c9f3df1,8b9c0d1e-ccff-4cc6-dd77-bbb000008002,2,"Structures Through Time",25,2025-01-01T10:40:00Z,SYSTEM,2025-01-01T10:40:00Z,SYSTEM
0eacb82f-8765-46ef-9b41-21ba9c9f3df1,8b9c0d1e-ccff-4cc6-dd77-bbb000008003,3,"The Art in Design",24,2025-01-01T10:40:00Z,SYSTEM,2025-01-01T10:40:00Z,SYSTEM
c92dfd60-8831-4c0d-b88f-19e0fd4e4df3,9c0d1e2f-ddee-4dd7-ee88-ccc000009001,1,"Adventures Below the Waves",12,2025-01-01T10:45:00Z,SYSTEM,2025-01-01T10:45:00Z,SYSTEM
c92dfd60-8831-4c0d-b88f-19e0fd4e4df3,9c0d1e2f-ddee-4dd7-ee88-ccc000009002,2,"Creatures of the Deep",10,2025-01-01T10:45:00Z,SYSTEM,2025-01-01T10:45:00Z,SYSTEM
c92dfd60-8831-4c0d-b88f-19e0fd4e4df3,9c0d1e2f-ddee-4dd7-ee88-ccc000009003,3,"Mysteries of the Ocean",8,2025-01-01T10:45:00Z,SYSTEM,2025-01-01T10:45:00Z,SYSTEM
